,aic_avg,aic_max,aic_min,aic_std,gen,nevals
0,23373.09055,93594.006,0.0,40483.39628053669,0,20
1,28052.798300000002,93594.155,0.0,42851.37729773909,1,15
2,23394.528199999997,93674.185,0.0,40520.530402428936,2,12
3,37444.93824999999,93849.175,0.0,45860.547985845216,3,19
4,23401.8284,93849.175,0.0,40533.21165367684,4,14
5,37447.50535000001,93849.175,0.0,45863.69477623757,5,16
6,37471.3595,93838.278,0.0,45892.922752768915,6,13
7,42153.75675,93838.278,0.0,46602.77422858105,7,17
8,46836.02415,93838.278,0.0,46836.069509226785,8,11
9,46836.02415,93838.278,0.0,46836.069509226785,9,20
10,42137.562399999995,93838.278,0.0,46584.87775492674,10,16
