,cfi_avg,cfi_max,cfi_min,cfi_std,gen,nevals
0,0.2472,0.994,0.0,0.428174917527872,0,20
1,0.2962,0.994,0.0,0.45246785521183713,1,15
2,0.24535,0.994,0.0,0.4249725020516033,2,12
3,0.39135,0.994,0.0,0.47934103465069633,3,19
4,0.2447,0.994,0.0,0.42387275213205206,4,14
5,0.39109999999999995,0.994,0.0,0.479036626992133,5,16
6,0.38905,0.982,0.0,0.47653399406548114,6,13
7,0.43784999999999996,0.98,0.0,0.4840917552489403,7,17
8,0.48660000000000003,0.982,0.0,0.4866318320866403,8,11
9,0.4866,0.982,0.0,0.4866318320866401,9,20
10,0.43925000000000003,0.994,0.0,0.48564502210977106,10,16
